order_id,customer_name,customer_email,phone_number,product_name,category,quantity,unit_price,discount_pct,total_amount,status,order_date,rating,region
1,Uma Lewis,uma.lewis@devhub.net,+16668366722,Smartphone X12,Laptops,5,649.99,4.2,3113.45,COMPLETED,2024-11-23,2.7,North
2,Carol White,carol.white@outlook.com,+18224305450,4K Monitor,Monitors,9,1524.95,16.8,11418.83,PROCESSING,2024-03-05,2.1,North
3,Yara King,yara.king@gmail.com,+13631775357,External HDD,Audio,7,883.61,4.7,5894.56,CANCELLED,2027-06-15,2.4,East
4,Tina Clark,tina.clark@devhub.net,+17554158401,Mechanical Keyboard,Laptops,8,1363.76,29.2,7724.34,REFUNDED,2023-03-22,3.5,East
5,,sam.robinson@gmail.com,+13632629719,4K Monitor,Phones,1,1670.1,23.2,1282.64,COMPLETED,2023-08-27,2.8,East
6,Frank Lee,frank.lee@outlook.com,+18589080583,USB-C Hub,Storage,4,1691.93,21.1,5339.73,COMPLETED,2024-09-15,2.0,West
7,Mia Thomas,mia.thomas@gmail.com,+15457645390,Mechanical Keyboard,Tablets,-4,1727.3,25.3,5161.17,COMPLETED,2023-08-23,2.6,North
8,Grace Kim,grace.kim@yahoo.com,+12599707677,Graphics Card RTX,Components,6,570.94,15.0,2911.79,REFUNDED,2023-05-27,4.0,Central
9,Isabella Davis,isabella.davis@devhub.net,+14119634399,Bluetooth Speaker,Components,7,2249.67,12.0,13857.97,PENDING,2023-05-22,4.0,North
10,Eva Martinez,not-an-email,+17374782700,Tablet Pro,Audio,7,1511.2,11.5,9361.88,PROCESSING,2024-04-24,3.2,North
11,Victor Hall,victor.hall@yahoo.com,+13867302554,Bluetooth Speaker,Phones,9,1889.65,23.1,13078.27,CANCELLED,2023-04-25,2.8,East
12,Quinn Anderson,quinn.anderson@devhub.net,+14615507143,External HDD,Audio,9,2285.94,26.1,15203.79,CANCELLED,2024-10-16,7.8,South
13,Rachel Thompson,rachel.thompson@yahoo.com,+13028439863,External HDD,Tablets,1,1517.41,14.7,1294.35,COMPLETED,2024-01-07,2.0,Central
14,Carol White,carol.white@techcorp.io,+12709214891,Smartphone X12,Wearables,2,2446.06,16.0,4109.38,PENDING,2023-05-12,3.1,Central
15,Nathan Harris,nathan.harris@devhub.net,+13939118223,4K Monitor,Tablets,4,N/A,12.0,6324.45,CANCELLED,2024-03-24,2.0,North
16,Karen Moore,karen.moore@gmail.com,+12983297492,Laptop Pro 15,Components,9,613.78,6.6,5159.43,COMPLETED,2024-12-25,4.6,East
17,Carol White,carol.white@devhub.net,+14030106617,Gaming Mouse,Monitors,5,1689.0,6.4,7904.52,PENDING,2024-08-07,4.1,West
18,,grace.kim@gmail.com,+12260329455,Smartphone X12,Phones,7,918.03,12.3,5635.79,COMPLETED,2024-11-20,3.9,North
19,Henry Wilson,henry.wilson@outlook.com,+12323775634,4K Monitor,Monitors,9,1149.1,12.7,9028.48,CANCELLED,2024-04-18,4.2,Central
20,David Brown,david.brown@techcorp.io,+14085812759,Laptop Pro 15,Tablets,1,2424.04,27.8,1750.16,,2023-06-20,1.9,West
21,Clara Baker,clara.baker@techcorp.io,+19286805016,Laptop Pro 15,Audio,7,55.28,11.7,341.69,REFUNDED,2023-10-20,3.9,Central
22,Victor Hall,victor.hall@devhub.net,+16556778059,Bluetooth Speaker,Wearables,3,515.25,6.5,9999.99,COMPLETED,2024-08-16,2.3,North
23,Sam Robinson,sam.robinson@gmail.com,+14555656321,SSD 1TB,Tablets,9,435.71,28.8,2792.03,COMPLETED,2023-07-10,3.7,South
24,Mia Thomas,mia.thomas@devhub.net,+18722598451,Smartphone X12,Components,4,1468.35,1.2,5802.92,COMPLETED,2024-03-05,2.3,East
25,Grace Kim,not-an-email,+16018948187,Tablet Pro,Storage,4,700.76,3.9,2693.72,CANCELLED,2024-04-13,1.0,Central
26,Sam Robinson,sam.robinson@outlook.com,+13587106770,Smartphone X12,Phones,9,572.23,8.0,4738.06,CANCELLED,2023-03-12,1.6,Central
27,Wendy Allen,wendy.allen@gmail.com,+12576775951,Mechanical Keyboard,Components,9,69.17,24.5,470.01,CANCELLED,2024-11-10,1.5,North
28,Xavier Young,xavier.young@yahoo.com,+14170715377,Gaming Mouse,Audio,5,740.3,6.3,3468.31,CANCELLED,2023-07-28,2.0,North
29,Carol White,carol.white@yahoo.com,+16988956607,Tablet Pro,Peripherals,5,158.01,10.0,711.04,PENDING,2024-10-14,2.8,West
30,Rachel Thompson,rachel.thompson@gmail.com,,Laptop Pro 15,Phones,2,2365.37,20.7,3751.48,PENDING,2024-07-12,3.3,South
31,Nathan Harris,nathan.harris@outlook.com,+14929454134,Wireless Headphones,Laptops,5,943.4,28.0,3396.24,COMPLETED,2024-01-02,3.7,East
32,Yara King,yara.king@outlook.com,+15785653776,Gaming Mouse,Peripherals,10,1886.22,27.8,13618.51,PENDING,2023-06-16,1.1,East
33,Zach Wright,zach.wright@gmail.com,+15687629943,Graphics Card RTX,Peripherals,-4,703.67,23.6,2150.42,COMPLETED,2024-01-27,1.9,West
34,Leo Jackson,leo.jackson@gmail.com,+13198832728,Mechanical Keyboard,Monitors,4,107.98,5.8,406.87,CANCELLED,2023-10-13,3.6,West
35,Victor Hall,victor.hall@devhub.net,+13140169349,RAM 16GB,Tablets,6,2351.13,3.5,13613.04,CANCELLED,2023-07-02,1.4,West
36,Leo Jackson,leo.jackson@outlook.com,+13094024844,Bluetooth Speaker,Storage,7,1535.21,15.3,9102.26,REFUNDED,2024-08-13,3.8,North
37,Quinn Anderson,quinn.anderson@yahoo.com,+19144194790,Graphics Card RTX,Tablets,4,942.34,2.1,3690.2,CANCELLED,2024-09-30,1.5,East
38,Quinn Anderson,quinn.anderson@techcorp.io,+19150817441,Mechanical Keyboard,Peripherals,6,1035.88,8.9,5662.12,PENDING,2023-07-16,2.5,South
